|                   |        100 |       1000 |       10000 |       100000 |
|:------------------|-----------:|-----------:|------------:|-------------:|
| rf_fit_time       | 0.124259   | 0.825855   | 10.8118     | 145.014      |
| rf_score_time     | 0.0288108  | 0.042241   |  0.48812    |   6.37943    |
| rf_test_r2        | 0.414773   | 0.588604   |  0.644128   |   0.816647   |
| rf_test_rmse      | 0.00304963 | 0.00267007 |  0.00247768 |   0.00177921 |
| rf_test_mae       | 0.00226547 | 0.00190567 |  0.00170158 |   0.00105475 |
| rf_test_maxae     | 0.0144659  | 0.0166441  |  0.0251789  |   0.0260118  |
| linear_fit_time   | 0.00410957 | 0.00195227 |  0.00799651 |   0.134568   |
| linear_score_time | 0.00166116 | 0.00310507 |  0.0118873  |   0.208881   |
| linear_test_r2    | 0.571123   | 0.661088   |  0.663526   |   0.664543   |
| linear_test_rmse  | 0.00263566 | 0.00243879 |  0.00241882 |   0.00241745 |
| linear_test_mae   | 0.00184378 | 0.00169448 |  0.00166478 |   0.00166503 |
| linear_test_maxae | 0.0140767  | 0.0175159  |  0.0247341  |   0.0266285  |
