|                   |        100 |       1000 |      10000 |        100000 |
|:------------------|-----------:|-----------:|-----------:|--------------:|
| rf_fit_time       | 0.139256   | 0.756411   | 9.66738    | 130.726       |
| rf_score_time     | 0.0313636  | 0.0509667  | 0.34925    |   4.50948     |
| rf_test_r2        | 0.476817   | 0.693012   | 0.735257   |   0.86608     |
| rf_test_rmse      | 0.00237797 | 0.00205286 | 0.00185443 |   0.00132831  |
| rf_test_mae       | 0.00196955 | 0.00162921 | 0.00145664 |   0.000911196 |
| rf_test_maxae     | 0.00607008 | 0.0074424  | 0.00806285 |   0.0082464   |
| linear_fit_time   | 0.00156746 | 0.0015193  | 0.00858202 |   0.105422    |
| linear_score_time | 0.0017312  | 0.00220861 | 0.0143153  |   0.213363    |
| linear_test_r2    | 0.645517   | 0.75261    | 0.75893    |   0.761007    |
| linear_test_rmse  | 0.00187639 | 0.00182802 | 0.00176594 |   0.00177413  |
| linear_test_mae   | 0.00153392 | 0.00147671 | 0.00140503 |   0.00141492  |
| linear_test_maxae | 0.00394233 | 0.00605414 | 0.00701732 |   0.00867072  |
